Company,Address,Title,Company Link
SHINHAN FINANCE,Hồ Chí Minh,Data Analyst (Assistant Mis Manager),
CÔNG TY TM DVXNK LADY CARE,Hồ Chí Minh,Chuyên Viên Phân Tích Dữ Liệu,
CÔNG TY TNHH SHOPEE EXPRESS,Hồ Chí Minh,Chuyên Viên Data Analyst (Linehaul Controller) - Shopee Xpress,
CÔNG TY TNHH BLUECORE,Hồ Chí Minh,Data Analyst,
CÔNG TY TNHH LỬA Á CHÂU,Hồ Chí Minh,Thực Tập Sinh Phân Tích Dữ Liệu Mạng Xã Hội (Social Media Data Analyst Intern),
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VGS,Hồ Chí Minh,Game Data Analyst - Phân Tích Dữ Liệu Game,
TRUNG TÂM NÂNG CAO CHẤT LƯỢNG CUỘC SỐNG,Hồ Chí Minh,Nhân Viên Phân Tích Dữ Liệu ( Data Analyst Officer),
CÔNG TY CỔ PHẦN GIAO HÀNG TIẾT KIỆM,Hồ Chí Minh,Chuyên Viên Nhân Sự (Mảng Phân Tích Dữ Liệu Nhân Sự),
CÔNG TY TNHH FINAN (SOBANHANG),Hồ Chí Minh,Data Analyst Intern,
NGÂN HÀNG TMCP XUẤT NHẬP KHẨU VIỆT NAM (EXIMBANK),Hồ Chí Minh,Chuyên Viên Phân Tích Dữ Liệu & Báo Cáo,
CÔNG TY TNHH EROC COMMERCE (VIỆT NAM),Hồ Chí Minh,Nhân Viên Phân Tích Dữ Liệu Kinh Doanh,
CÔNG TY CỔ PHẦN HAI BỐN BẢY,Hồ Chí Minh,Chuyên Viên Phân Tích Dữ Liệu,
CÔNG TY TNHH SHOPEE EXPRESS,Hồ Chí Minh,Data Analyst (Operations Support) - Shopee Xpress,
CÔNG TY TNHH SKYLINK GROUP,Hồ Chí Minh,Senior Data Analyst,
CÔNG TY CỔ PHẦN VIN3S,Hồ Chí Minh,Data Analyst,
CÔNG TY TÀI CHÍNH TNHH MB SHINSEI (MCREDIT),Hà Nội,Data Analyst (Chuyên Viên Phân Tích Dữ Liệu Phòng Mis - Khối Tài Chính) $2000++,
TRUNG TÂM DỊCH VỤ SỐ MOBIFONE - CHI NHÁNH TỔNG CÔNG TY VIỄN THÔNG MOBIFONE,Hà Nội,"Chuyên Viên Đối Soát, Phân Tích Dữ Liệu_ Nghỉ Thứ 7 + Chủ Nhật, Thu Nhập 20-25 Triệu",
CÔNG TY CP GIẢI PHÁP THANH TOÁN VIỆT NAM (VNPAY),Hà Nội,Data Analyst (Senior),
CÔNG TY CỔ PHẦN GIAO HÀNG TIẾT KIỆM,Hà Nội,Data Analyst,
CÔNG TY CP GIẢI PHÁP THANH TOÁN VIỆT NAM (VNPAY),Hà Nội,Nhân Viên Phân Tích Dữ Liệu,
CÔNG TY TNHH TÍCH HỢP HỆ THỐNG QUẢN LÝ QUỐC TẾ (GIMASYS),Hà Nội,Data Analyst Fresher,
CITIGO,Hà Nội,Data Analyst,
CÔNG TY TNHH SOCOTEC VIỆT NAM,Hà Nội,Data Manager (Kỹ Sư Phân Tích Dữ Liệu Mảng Xây Dựng),
CÔNG TY CỔ PHẦN INTELLIFE,Hà Nội,Nhân Viên Phân Tích Dữ Liệu - Phòng Thương Mại Điện Tử (Lương Từ 15 - 18 Triệu),
CÔNG TY TNHH NINSING LOGISTICS,Hà Nội,Chuyên Viên Phân Tích Dữ Liệu Vận Hành,
CÔNG TY TNHH NINSING LOGISTICS,Hà Nội,Data Analyst Hà Nội - Thử Việc 100% (Senior),
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN TIÊN PHONG - TPBANK,Hà Nội,Chuyên Viên Chính/Chuyên Viên Phân Tích Dữ Liệu Bộ Phận Phân Tích Và Khai Thác Dữ Liệu (Advanced Analytics) - Trung Tâm Quản Trị Dữ Liệu,
CÔNG TY TNHH CMC GLOBAL,Hà Nội,Data Analyst - T7047,
CÔNG TY CỔ PHẦN CÔNG NGHỆ SAPO,Hà Nội,Chuyên Viên Nghiên Cứu Thị Trường Và Phân Tích Dữ Liệu,
CÔNG TY CỔ PHẦN ONE PERCENT,Hà Nội,Chuyên Viên Phân Tích Dữ Liệu - Data Analyst (Mức Lương Lên Tới 25 Triệu),
CÔNG TY TNHH GIẢI PHÁP VÀ PHÂN TÍCH DỮ LIỆU INSIGHT DATA,Hà Nội,Lập Trình Viên Mobile (IOS/ Android) Lương Lên Đến 35 Triệu,
CÔNG TY CP KIDS PLAZA,Hà Nội,Chuyên Viên Phân Tích Dữ Liệu Da,
CÔNG TY CỔ PHẦN CÔNG NGHỆ SAPO,Hà Nội,Market Research Analyst (Nghiên Cứu Thị Trường Và Phân Tích Dữ Liệu),
CÔNG TY CỔ PHẦN ĐẦU TƯ FINPROS,Hà Nội,Data Analyst (Auantitative Researcher),
CÔNG TY CỔ PHẦN ĐẦU TƯ FINPROS,Hà Nội,Data Analyst (Nghiên Cứu Viên Định Lượng),
CÔNG TY CỔ PHẦN TẬP ĐOÀN MEEY LAND,Hà Nội,Chuyên Viên Phân Tích Dữ Liệu (Data Analyst),
CÔNG TY TNHH TRUYỀN HÌNH FPT,Hà Nội,Data Analyst (Fpt Play - Hà Nội),
CÔNG TY TNHH GIẢI PHÁP VÀ PHÂN TÍCH DỮ LIỆU INSIGHT DATA,Hà Nội,Data Engineer,
